Review Title,Customer name,Rating,Rating_Numeric,Date,Date_Parsed,Category,Comments,Useful,Helpful_Count,Review_Title_Clean,Comments_Clean,Combined_Text,Review_Title_Processed,Comments_Processed,Combined_Text_Processed,Text_Length,Word_Count
Got a defective one and requested for a replacement,Anoopcbose,1.0 out of 5 stars,1.0,on 22 September 2018,2018-09-22,Display,"Phone is really nice and good looking.
I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don't know I'm the one who facing this or is it a common problem. Plz let me know if you're facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don't know wether it's a physical problem or a software problem. I wish the replacement phone will don't have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I'm waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon", ,0,Got a defective one and requested for a replacement,Phone is really nice and good looking. I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don t know I m the one who facing this or is it a common problem. Plz let me know if you re facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don t know wether it s a physical problem or a software problem. I wish the replacement phone will don t have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I m waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon,Got a defective one and requested for a replacement Phone is really nice and good looking. I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don t know I m the one who facing this or is it a common problem. Plz let me know if you re facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don t know wether it s a physical problem or a software problem. I wish the replacement phone will don t have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I m waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon,got defective one requested replacement,phone really nice good looking think got defective one blue colour appears side screen see image shown know one facing common problem plz let know facing also touch issue using keyboard typing typing smooth lag lot problem appears keyboard know wether physical problem software problem wish replacement phone problem dear team consider blue colour problem resmi pro display may affect smartphone marketing dear please make quality product show advertising waiting get replacement amazon lag replacement policy without hand hand replacement hate purchase amazon,got defective one requested replacement phone really nice good looking think got defective one blue colour appears side screen see image shown know one facing common problem plz let know facing also touch issue using keyboard typing typing smooth lag lot problem appears keyboard know wether physical problem software problem wish replacement phone problem dear team consider blue colour problem resmi pro display may affect smartphone marketing dear please make quality product show advertising waiting get replacement amazon lag replacement policy without hand hand replacement hate purchase amazon,944,182
cant connect to camera,Desh Deepak APS Chauhan,3.0 out of 5 stars,3.0,on 17 September 2018,2018-09-17,Camera,"good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera!
Far better than asus zenfone max pro m1.
Now feeling the Sony camera quality.
Front camera is wow (5mp) still taking better than 13mp pics
I am using this phone as a pro photographer now
Wait for one month and you will get 1000/- off on it.
Thanks amazon
Thanks Mi India.", ,0,cant connect to camera,good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera! Far better than asus zenfone max pro m1. Now feeling the Sony camera quality. Front camera is wow 5mp still taking better than 13mp pics I am using this phone as a pro photographer now Wait for one month and you will get 1000 off on it. Thanks amazon Thanks Mi India.,cant connect to camera good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera! Far better than asus zenfone max pro m1. Now feeling the Sony camera quality. Front camera is wow 5mp still taking better than 13mp pics I am using this phone as a pro photographer now Wait for one month and you will get 1000 off on it. Thanks amazon Thanks Mi India.,cant connect camera,good rear camera bad front camera software problem cant connect camera error come startup camera far better asus zenfone max pro feeling sony camera quality front camera wow 5mp still taking better 13mp pic using phone pro photographer wait one month get 1000 thanks amazon thanks india,cant connect camera good rear camera bad front camera software problem cant connect camera error come startup camera far better asus zenfone max pro feeling sony camera quality front camera wow 5mp still taking better 13mp pic using phone pro photographer wait one month get 1000 thanks amazon thanks india,409,77
Worst Camera,Pawan Dwivedee ,2.0 out of 5 stars,2.0,on 18 September 2018,2018-09-18,Camera,"Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don't buy this phone.",10 people found this helpful,10,Worst Camera,"Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don t buy this phone.","Worst Camera Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don t buy this phone.",worst camera,front camera phone like vga camera noisy effect recommend please buy phone,worst camera front camera phone like vga camera noisy effect recommend please buy phone,133,25
This mobile is defective,Anand harsh,1.0 out of 5 stars,1.0,on 18 September 2018,2018-09-18,Display,"I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full",8 people found this helpful,8,This mobile is defective,"I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full","This mobile is defective I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full",mobile defective,say product defective camera working proper speed slow company refunding money amazon customer care representative behavior bad option return display amazon company app return product request customer care full,mobile defective say product defective camera working proper speed slow company refunding money amazon customer care representative behavior bad option return display amazon company app return product request customer care full,343,61
Camera not good,rohan sulgekar,1.0 out of 5 stars,1.0,on 17 September 2018,2018-09-17,Others,Not good photo crirati,11 people found this helpful,11,Camera not good,Not good photo crirati,Camera not good Not good photo crirati,camera good,good photo crirati,camera good good photo crirati,38,7
Not worth the money paid. Worst camera & screen size,Sreenath Bettanna,1.0 out of 5 stars,1.0,on 17 September 2018,2018-09-17,Camera,Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It's a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.,5 people found this helpful,5,Not worth the money paid. Worst camera screen size,Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It s a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.,Not worth the money paid. Worst camera screen size Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It s a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.,worth money paid worst camera screen size,camera worst considering price phone front camera worst ordinary mobile processor much fast ghz speed mobile redmi notch namesake size sake big let bought phone considering notch option redmi disappointed redmi started thinking india dump yard redmi better option,worth money paid worst camera screen size camera worst considering price phone front camera worst ordinary mobile processor much fast ghz speed mobile redmi notch namesake size sake big let bought phone considering notch option redmi disappointed redmi started thinking india dump yard redmi better option,439,77
UNBOXING AND CAMERA SHOTS!,TECHBORED! Himanshu Chatra,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Display,"Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots.
-----------------------
IN THE BOX
-----------------------
1. Manuals with warranty information.
2. Charging cable.
3. 5V 2A power adapter.
4. Transparent TPU case.
5. Redmi 6 Pro.
----------
DESIGN
----------
1. The transparent case fits well and is a perfect fit. Gives nice feel in hands.
2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment.
3. It sports a FULL HD + display with that 19:9 aspect ratio.
4. On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port.
5. Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker.
6. Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback.
----------------------------
DUAL 4G STANDBY
----------------------------
There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a
good thing that I liked about this and it is that it has dedicated Micro SD card slot.
---------------------------
FACE UNLOCK
---------------------------
There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures.
-----------------------
CAMERA SETUP
-----------------------
1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro.
2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent.
-------------------
HARDWARE
-------------------
1. So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone.
2. Redmi 6 Pro is backed up with 4000mAh battery that is great.
3. Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10.
4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.", ,0,UNBOXING AND CAMERA SHOTS!,"Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots. IN THE BOX 1. Manuals with warranty information. 2. Charging cable. 3. 5V 2A power adapter. 4. Transparent TPU case. 5. Redmi 6 Pro. DESIGN 1. The transparent case fits well and is a perfect fit. Gives nice feel in hands. 2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment. 3. It sports a FULL HD display with that 19 9 aspect ratio. 4. On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port. 5. Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker. 6. Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback. DUAL 4G STANDBY There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a good thing that I liked about this and it is that it has dedicated Micro SD card slot. FACE UNLOCK There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures. CAMERA SETUP 1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro. 2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent. HARDWARE 1. So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone. 2. Redmi 6 Pro is backed up with 4000mAh battery that is great. 3. Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10. 4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.","UNBOXING AND CAMERA SHOTS! Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots. IN THE BOX 1. Manuals with warranty information. 2. Charging cable. 3. 5V 2A power adapter. 4. Transparent TPU case. 5. Redmi 6 Pro. DESIGN 1. The transparent case fits well and is a perfect fit. Gives nice feel in hands. 2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment. 3. It sports a FULL HD display with that 19 9 aspect ratio. 4. On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port. 5. Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker. 6. Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback. DUAL 4G STANDBY There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a good thing that I liked about this and it is that it has dedicated Micro SD card slot. FACE UNLOCK There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures. CAMERA SETUP 1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro. 2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent. HARDWARE 1. So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone. 2. Redmi 6 Pro is backed up with 4000mAh battery that is great. 3. Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10. 4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.",unboxing camera shot,hey guy techbored unboxing also adding camera shot box manual warranty information charging cable power adapter transparent tpu case redmi pro design transparent case fit well perfect fit give nice feel hand come notch small really liked least xiaomi tried cut bezel budget segment sport full display aspect ratio top phone infrared sensor secondary noise cancellation microphone wow 3.5mm headphone jack always happy see port moving button micro usb port situated microphone speaker loud decent sounding speaker redmi pro body made metal plastic metal used top bottom side plastic also sim tray made plastic button made metal thats nice give nice feedback dual standby dual sim dual standby use sims time good thing liked dedicated micro card slot face unlock also finger print sensor fast enough unlock also come face unlock pretty fast think much secure least unlocked picture camera setup best thing xiaomi put redmi pro camera setup redmi note pro 12mp 5mp dual camera setup aperture 2.2 single led flash middle tell detail camera performs included shot taken redmi pro think nice decent almost redmi note pro camera setup record upto 1080p video 30fps support eis video much shaky eis performs well front 5mp aperture 2.0 camera decent hardware powered old snaprdragon 625 think think good budget smartphones performs well smartphone redmi pro backed 4000mah battery great running android 8.1 oreo top custom miui soon get stable update miui10 redmi pro come 3gb ram 32gb internal mermory 4gb ram internal memory variant,unboxing camera shot hey guy techbored unboxing also adding camera shot box manual warranty information charging cable power adapter transparent tpu case redmi pro design transparent case fit well perfect fit give nice feel hand come notch small really liked least xiaomi tried cut bezel budget segment sport full display aspect ratio top phone infrared sensor secondary noise cancellation microphone wow 3.5mm headphone jack always happy see port moving button micro usb port situated microphone speaker loud decent sounding speaker redmi pro body made metal plastic metal used top bottom side plastic also sim tray made plastic button made metal thats nice give nice feedback dual standby dual sim dual standby use sims time good thing liked dedicated micro card slot face unlock also finger print sensor fast enough unlock also come face unlock pretty fast think much secure least unlocked picture camera setup best thing xiaomi put redmi pro camera setup redmi note pro 12mp 5mp dual camera setup aperture 2.2 single led flash middle tell detail camera performs included shot taken redmi pro think nice decent almost redmi note pro camera setup record upto 1080p video 30fps support eis video much shaky eis performs well front 5mp aperture 2.0 camera decent hardware powered old snaprdragon 625 think think good budget smartphones performs well smartphone redmi pro backed 4000mah battery great running android 8.1 oreo top custom miui soon get stable update miui10 redmi pro come 3gb ram 32gb internal mermory 4gb ram internal memory variant,2661,532
Battery,Pardeep sharma,5.0 out of 5 stars,5.0,on 29 September 2018,2018-09-29,Battery,NYC camera and battery backup, ,0,Battery,NYC camera and battery backup,Battery NYC camera and battery backup,battery,nyc camera battery backup,battery nyc camera battery backup,37,6
This Time Mi cheats..,aanik azad,1.0 out of 5 stars,1.0,on 25 September 2018,2018-09-25,Camera,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs.., ,0,This Time Mi cheats..,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs..,This Time Mi cheats.. A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs..,time cheat,worst mobile big cost paid 11k many best mobile present every company disappointing thing front camera.in today selfie day dirty disappointing front camra big loss,time cheat worst mobile big cost paid 11k many best mobile present every company disappointing thing front camera.in today selfie day dirty disappointing front camra big loss,281,51
A compact power pack Device with great battery and a decent camera,kunal Sethi,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",,0,A compact power pack Device with great battery and a decent camera,This device feels great in hand because it is compact enough and doesn t feels bulky at all. Thanks to its notch display and 19 9 aspect ratio. Directly coming to its pros and cons after 1 day of use. will update soon Pros 1. Design Compact design as compared to redmi note 5 pro. 5.84 screen looks way too compact as compared to 6 in note 5 pro. Design 9 10 2. Rear Camera Rear Camera is fair enough. If note 5 pro is 20 then it s 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8 10. 3. Audio 9 10 4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5 10. 5. Price Price of this device is fair in all aspects. 10 10 Cons The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest. For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro. Pls hit like if u thought this review was helpful.,A compact power pack Device with great battery and a decent camera This device feels great in hand because it is compact enough and doesn t feels bulky at all. Thanks to its notch display and 19 9 aspect ratio. Directly coming to its pros and cons after 1 day of use. will update soon Pros 1. Design Compact design as compared to redmi note 5 pro. 5.84 screen looks way too compact as compared to 6 in note 5 pro. Design 9 10 2. Rear Camera Rear Camera is fair enough. If note 5 pro is 20 then it s 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8 10. 3. Audio 9 10 4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5 10. 5. Price Price of this device is fair in all aspects. 10 10 Cons The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest. For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro. Pls hit like if u thought this review was helpful.,compact power pack device great battery decent camera,device feel great hand compact enough feel bulky thanks notch display aspect ratio directly coming pro con day use update soon pro design compact design compared redmi note pro 5.84 screen look way compact compared note pro design rear camera rear camera fair enough note pro 19. capture detailed image good light struggle bit low light rating audio look like typical xiaomi device still unibody metal design 8.5 price price device fair aspect con con felt front camera camera would least shooter deal would great must say greatest people confused realme redmi pro would suggest buy redmi pro pls hit like thought review helpful,compact power pack device great battery decent camera device feel great hand compact enough feel bulky thanks notch display aspect ratio directly coming pro con day use update soon pro design compact design compared redmi note pro 5.84 screen look way compact compared note pro design rear camera rear camera fair enough note pro 19. capture detailed image good light struggle bit low light rating audio look like typical xiaomi device still unibody metal design 8.5 price price device fair aspect con con felt front camera camera would least shooter deal would great must say greatest people confused realme redmi pro would suggest buy redmi pro pls hit like thought review helpful,1058,215
Good Phone but price HIGHER,MALLA TULASI SANKAR GANESH,4.0 out of 5 stars,4.0,on 15 September 2018,2018-09-15,Display,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000",,0,Good Phone but price HIGHER,"Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium. Cons Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low, Charger Cable length is shortened. Recommend to buy if its price is 10000","Good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium. Cons Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low, Charger Cable length is shortened. Recommend to buy if its price is 10000",good phone price higher,pro good display better battey performance proper phone size fit wallet hand excellent build quality look premium con outdated snapdragon 625 processor rear camera average front camera average speaker sound low charger cable length shortened recommend buy price 10000,good phone price higher pro good display better battey performance proper phone size fit wallet hand excellent build quality look premium con outdated snapdragon 625 processor rear camera average front camera average speaker sound low charger cable length shortened recommend buy price 10000,349,56
Best phone forever.,Manish Singh,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,Best phone with face unlock full hd video recording and all latest features.,,0,Best phone forever.,Best phone with face unlock full hd video recording and all latest features.,Best phone forever. Best phone with face unlock full hd video recording and all latest features.,best phone forever,best phone face unlock full video recording latest feature,best phone forever best phone face unlock full video recording latest feature,96,16
"Not impressive, Y2 is better",Mudasar Nazar,2.0 out of 5 stars,2.0,on 18 September 2018,2018-09-18,Others,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone.",,0,"Not impressive, Y2 is better","Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family. Not satisfied with the looks, screen size and it is a fatty phone.","Not impressive, Y2 is better Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family. Not satisfied with the looks, screen size and it is a fatty phone.",impressive better,overall phone seems good performance perspective range category buy looking wider screen thinner phone felt would better choice range already brought one family satisfied look screen size fatty phone,impressive better overall phone seems good performance perspective range category buy looking wider screen thinner phone felt would better choice range already brought one family satisfied look screen size fatty phone,350,64
"Very Terrible, Worst Smartphone.",Aniket Sidanale,1.0 out of 5 stars,1.0,on 19 September 2018,2018-09-19,Camera,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.",,0,"Very Terrible, Worst Smartphone.","Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.","Very Terrible, Worst Smartphone. Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.",terrible worst smartphone,look poor bad performance camera quality totally worst please everybody buy redmi pro realme wasted money,terrible worst smartphone look poor bad performance camera quality totally worst please everybody buy redmi pro realme wasted money,175,30
Don't buy this mobile mi 6 pro,Vasudevan,1.0 out of 5 stars,1.0,on 15 September 2018,2018-09-15,Display,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",,0,Don t buy this mobile mi 6 pro,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon","Don t buy this mobile mi 6 pro Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",buy mobile pro,poor quality front facing camera sound quality poor full display working apps video clear videosnot good zoom photo clear picture 10999 worth mobile waste many return option available phone return phone please amazon,buy mobile pro poor quality front facing camera sound quality poor full display working apps video clear videosnot good zoom photo clear picture 10999 worth mobile waste many return option available phone return phone please amazon,311,55
Good phone,Vaibhav Agarwal,5.0 out of 5 stars,5.0,on 17 September 2018,2018-09-17,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,,0,Good phone,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,Good phone I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,good phone,loved fact lenovo gave nice transparent back cover happy phone cover quality,good phone loved fact lenovo gave nice transparent back cover happy phone cover quality,123,23
Disappointed.,Dinesh Kumar P,1.0 out of 5 stars,1.0,on 18 September 2018,2018-09-18,Battery,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.",,0,Disappointed.,"Worst, don t go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.","Disappointed. Worst, don t go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.",disappointed,worst performance wise camera wise battery wise waste please good brand second time replacement also front camera portrait issue totally waste audio quality low audible,disappointed worst performance wise camera wise battery wise waste please good brand second time replacement also front camera portrait issue totally waste audio quality low audible,253,42
dont buy these product. these copy of the product,KHAN SONU RAFI AHMED,1.0 out of 5 stars,1.0,on 22 September 2018,2018-09-22,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",,0,dont buy these product. these copy of the product,"Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.","dont buy these product. these copy of the product Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",dont buy product copy product,please buy product mobile face type issue mobile data getting automatically thing happening wifi hot spot bluetooth handset behaving like cheap quality think duplicate copy original handset,dont buy product copy product please buy product mobile face type issue mobile data getting automatically thing happening wifi hot spot bluetooth handset behaving like cheap quality think duplicate copy original handset,341,62
