Review Title,Customer name,Rating_Numeric,Combined_Text,Short_Summary,Detailed_Summary,Extractive_Summary,Word_Count
Redmi 6 pro excellent Product,Amazon Customer,5.0,Redmi 6 pro excellent Product this mobile awesome.... i loved it best battery life and performance...,redmi 6 pro excellent Product this mobile awesome . i loved it best battery life and performance...,redmi 6 pro excellent Product this mobile awesome . i loved it best battery life and performance... i love it . it's a great mobile . I love it. it has a good battery life...,Redmi 6 pro excellent Product this mobile awesome.... i loved it best battery life and performance...,16
Awesome,Deepan,5.0,Awesome Best to buy...i love it??,Awesome Best to buy...i love it??,Awesome Best to buy...i love it??,Awesome Best to buy...i love it??,6
5/4.5,manoranjan kumat,5.0,5 4.5 Battery is good Phone is good Camera is good Praformens is good,5 4.5 Battery is good Phone is good Camera is good Praformens is good .,"5 4.5 Battery is good Phone is good Camera is good Praformens is good is good . a good phone is good and the camera is good, and the battery is good. if you have a problem with the battery, it's good.",5 4.5 Battery is good Phone is good Camera is good Praformens is good,14
Great product,Sonu Bhasker,5.0,Great product Very happy with this mobile Fast delivery got my parcel in just 22 hours,great product Very happy with this mobile Fast delivery got my parcel in just 22 hours . great product .,great product Very happy with this mobile Fast delivery got my parcel in just 22 hours . i was able to get my parcel within a few days . it was a great product and the delivery was fast .,Great product Very happy with this mobile Fast delivery got my parcel in just 22 hours,16
Look like I phn x. ????????????????????,Parvinder singh,5.0,Look like I phn x. ???????????????????? No change in camera quality. Other functions super se v uper... ????????????,look like I phn x . no change in camera quality . other functions super se v uper .,look like I phn x . no change in camera quality . other functions super se v uper... ????????? ????????????????,Other functions super se v uper... No change in camera quality.,18
Wow phone,Ramiz Sayyed,5.0,Wow phone Awesome phone....all features available....m super happy with phone,Wow phone Awesome phone....all features available....m super happy with phone . i have a great phone and i'm happy with it.,Wow phone Awesome phone....all features available....m super happy with phone . i have a great phone and i'm happy with it . I'm a fan of the phone.,Wow phone Awesome phone....all features available....m super happy with phone,10
Good,Amazon Customer,5.0,Good Sound and battery life good,Good Sound and battery life good,Good Sound and battery life good,Good Sound and battery life good,6
Thanks to Amazon,Salman,5.0,Thanks to Amazon Very very nice and budget smartphone good xiaomi Thanks Amazon,thanks to amazon Very very nice and budget smartphone good xiaomi thanks amazon very nice .,thanks to amazon Very very nice and budget smartphone good xiaomi thanks amazon very nice . the smartphone is a great smartphone . it's a very nice smartphone and a nice budget smartphone - thanks . amazon very very nice.,Thanks to Amazon Very very nice and budget smartphone good xiaomi Thanks Amazon,13
Awesome phone,GOURAB ROY,5.0,Awesome phone Good mobile.. battery backup good,Awesome phone Good mobile.. battery backup good,Awesome phone Good mobile.. battery backup good,Awesome phone Good mobile.. battery backup good,7
Very good desain,MAHAVIRSINH R JADEJA,3.0,Very good desain Sound qulity not dolby and processor performance not ok.,very good desain Sound qulity not dolby and processor performance not ok .,very good desain Sound qulity not dolby and processor performance not ok . very good duain . sound quelity . . not dolly and processor . performance not good.,Very good desain Sound qulity not dolby and processor performance not ok.,12
Not A camera fone,Amazon Customer,4.0,Not A camera fone Looking wise sexy but camera quality is not worth over all good,not a camera fone Looking wise sexy but camera quality is not worth over all good .,not a camera fone Looking wise sexy but camera quality is not worth over all good . the quality of the camera isn't worth all good but it's not worth it .,Not A camera fone Looking wise sexy but camera quality is not worth over all good,16
Super phone,mahi kumar,5.0,Super phone This is the best phone mi phone,Super phone This is the best phone mi phone,Super phone This is the best phone mi phone,Super phone This is the best phone mi phone,9
Ek jakas cellphone,Amazon Customer,5.0,"Ek jakas cellphone This cellphone is good economical , more features available",Ek jakas cellphone This cellphone is good economical . more features available available .,Ek jakas cellphone This cellphone is good economical . more features available available . cellphone is a great deal of features . it is also a good choice for a mobile phone .,"Ek jakas cellphone This cellphone is good economical , more features available",12
Awesome,Amazon Customer,5.0,Awesome One of best mobile compare to nokia 6 1 plus,Awesome One of best mobile compare to nokia 6 1 plus . compared with nokian 6 1 .,Awesome One of best mobile compare to nokia 6 1 plus . compared with nokian 6 1 and a ipad 6 1 . awesome one of the best mobile comparisons .,Awesome One of best mobile compare to nokia 6 1 plus,11
Redmi 6 pro reviee,Amazon Customer,5.0,Redmi 6 pro reviee Display Quality and battery backup is good,Redmi 6 pro reviee Display Quality and battery backup is good . a good battery backup and a decent battery backup .,Redmi 6 pro reviee Display Quality and battery backup are good . a good battery backup and a decent battery backup . the redmi 6-pro revee display quality is good compared to a previous .,Redmi 6 pro reviee Display Quality and battery backup is good,11
No dual volte,Sunil kumar kulhari,1.0,No dual volte I m fan MI but No dual volte.. waste of money..,waste of money.. no dual volte I m fan MI but no dual-volte .,waste of money.. no dual volte I m fan MI but no dual-volte.. waste of cash.. a sleeve of money ..,No dual volte I m fan MI but No dual volte.. waste of money..,14
Product is good,Suman Bag,5.0,"Product is good This product is very good, battery backup is very good,","product is good This product is very good, battery backup is very nice . battery backup and battery backup are very good .","product is good This product is very good, battery backup is very nice . battery backup and battery backup are very good . product is a good product, but not a bad product .","Product is good This product is very good, battery backup is very good,",13
nice phone,Abhinav more,5.0,nice phone In this budget phone is good and Sound quality is also awesome,nice phone In this budget phone is good and Sound quality is also awesome . nice phone .,nice phone In this budget phone is good and Sound quality is also awesome . nice phone in this phone is also good and sound quality is . also awesome phone . good phone in a budget phone.,nice phone In this budget phone is good and Sound quality is also awesome,14
Best smartphone,Pradeep kumar,5.0,Best smartphone I use this phone and I like all quality,the best smartphone I use this phone and I like all quality . the best phone I use is this phone .,the best smartphone I use this phone and I like all quality . the best phone I use is a phone with a good quality and a great price . i like all the quality and quality of the phone .,Best smartphone I use this phone and I like all quality,11
Best quality phone,Rehan shaikh ,5.0,Best quality phone Best notch light weight phon.,Best quality phone Best notch light weight phon.,Best quality phone Best notch light weight phon.,Best quality phone Best notch light weight phon.,8
Looking osm,Amazon Customer,4.0,Looking osm Nice product and durability also good.. Best for camera s,Looking osm Nice product and durability also good . best for camera s .,Looking osm Nice product and durability also good . best for camera sm st. louis & lincolns.com . i'm a big fan of this product .,Looking osm Nice product and durability also good.. Best for camera s,12
Battery,Bilal Ahmed,5.0,Battery The Product is Bulky would have bring the weight down,Battery The Product is Bulky would have brought the weight down . the weight would have been down a bit .,Battery The Product is Bulky would have brought the weight down . the weight would have been a little higher than the weight of the battery The product would have weighed a lot more than a year ago.,Battery The Product is Bulky would have bring the weight down,11
Good,P.T.Hanuman,4.0,Good Camera is good,Good Camera is good,Good Camera is good,Good Camera is good,4
Good,sameer,4.0,Good Good mm??????,Good Good mm??????,Good Good mm??????,Good Good mm??????,3
Good,RAM,4.0,Good I didn t get 500 discount . Buy through HDFC bank,good I didn t get 500 discount through HDFC bank . buy through bank bank through fbi bank - if you have a bank account .,"good I didn t get 500 discount through HDFC bank . buy through bank bank through hdc bank - if you have a bank account, you will be able to get a discount of 500 .",Good I didn t get 500 discount . Buy through HDFC bank,12
Gud Phone,Al Mustaq,5.0,Gud Phone Better phone,Gud Phone Better phone,Gud Phone Better phone,Gud Phone Better phone,4
Good,Amazon Customer,5.0,Good Good,Good Good,Good Good,Good Good,2
Nyc,gaurav kumar,5.0,Nyc Good,Nyc Good,Nyc Good,Nyc Good,2
Good,Darshan V,5.0,Good Good,Good Good,Good Good,Good Good,2
Np,Y2 user,5.0,Np Good phone,Np Good phone,Np Good phone,Np Good phone,3
Sound v acha nhi hai,Md shahab,4.0,Sound v acha nhi hai Front camera low hai cost jyada hair 9999 take think tha,sound v acha nhi hai Front camera low hai cost jyada hair 9999 take think tha .,sound v acha nhi hai Front camera low hai cost jyada hair 9999 take think tha . thha .,Sound v acha nhi hai Front camera low hai cost jyada hair 9999 take think tha,16
A good product from MI at an affordable price tag.,Amazon Customer,4.0,A good product from MI at an affordable price tag. Overall the product build and handling quality is good.,a good product from MI at an affordable price tag . overall the product build and handling quality is good .,a good product from MI at an affordable price tag . overall the product build and handling quality is good . a great product from mrs. mcdonald.,A good product from MI at an affordable price tag. Overall the product build and handling quality is good.,19
Love this product,Deepak kumar,5.0,Love this product Wonderful phone.....,Love this product Wonderful phone.....,Love this product Wonderful phone.....,Love this product Wonderful phone.....,5
Good,Jay,3.0,Good Low pictures clarity,Good Low pictures clarity,Good Low pictures clarity,Good Low pictures clarity,4
Good,Uttam singh,5.0,Good Hello,Good Hello,Good Hello,Good Hello,2
Very good,Jalindar dhondabare,5.0,Very good Good quality,Very good Good quality,Very good Good quality,Very good Good quality,4
Awesome,Upender,5.0,Awesome Fast delivery great,Awesome Fast delivery great,Awesome Fast delivery great,Awesome Fast delivery great,4
Best budget phone,Akash Sharma,5.0,Best budget phone This phone is simply awesome in this price range??,best budget phone this phone is awesome in this price range?? . this phone has a price range of $99.,"best budget phone this phone is awesome in this price range?? . this phone has a price range of $80 . it is the best phone in this budget phone range . if you are looking for a budget phone, it's a great phone .",Best budget phone This phone is simply awesome in this price range??,12
Superb,Rishad,5.0,Superb Good,Superb Good,Superb Good,Superb Good,2
Good job Amazon,Shashikumar,5.0,Good job Amazon One of the best phone under 12k.,Good job Amazon One of the best phone under 12k.,Good job Amazon One of the best phone under 12k.,Good job Amazon One of the best phone under 12k.,10
Value for money,THAMIZH ARASU,4.0,Value for money Nice mobile in this price range,Value for money Nice mobile in this price range,Value for money Nice mobile in this price range,Value for money Nice mobile in this price range,9
Good product,Aakash,5.0,Good product Awesome product,Good product Awesome product,Good product Awesome product,Good product Awesome product,4
Average,pradeep k,3.0,Average Average,Average Average,Average Average,Average Average,2
Excellent.,Mohd Nazeer,5.0,Excellent. Excellent mobile good display quality,Excellent. Excellent mobile good display quality,Excellent. Excellent mobile good display quality,Excellent. Excellent mobile good display quality,6
Sound speaker is not working,Janardhan,1.0,Sound speaker is not working Out of 2 only 1 speaker is working from day 1,sound speaker is not working Out of 2 only 1 speaker is working from day 1 to day 1 .,sound speaker is not working Out of 2 only 1 speaker is working from day 1 to day 1 . sound speaker not working out of 2 speaker is only working 1 speaker from day 2 .,Sound speaker is not working Out of 2 only 1 speaker is working from day 1,16
Amazing,Emad choudhury,5.0,Amazing Value for money... Dislike late delivery,Amazing Value for money... Dislike late delivery,Amazing Value for money... Dislike late delivery,Amazing Value for money... Dislike late delivery,7
Bad service for return,GAURANG T.Nakarani,1.0,Bad service for return Bad facility for replacement,Bad service for return Bad facility for replacement . a new facility for the return of the Bad facility.,"Bad service for return Bad facility for replacement . a new facility for the return of the Bad facility is available in the u.s. in the summer of 2014, the new facility will be replaced by a replacement facility for a return facility.",Bad service for return Bad facility for replacement,8
I've fallen in love!,Aahil Asad Ahmad ,5.0,I ve fallen in love! I ve fallen in love!,I ve fallen in love! I ve fallen in love!,I ve fallen in love! I ve fallen in love!,I ve fallen in love! I ve fallen in love!,10
Poor,Rishab tripathi,3.0,Poor Poor,Poor Poor,Poor Poor,Poor Poor,2
Good,Suraj,5.0,Good Good,Good Good,Good Good,Good Good,2
Not value of money.,Jaydeep Parikh ,1.0,Not value of money. worst product ever. don t buy it.,worst product ever. don t buy it . don't buy . it's worth the money .,"worst product ever. don t buy it . don't buy . it's worth the money . if you want to buy it, it'll be the worst product you've ever had .",don t buy it. worst product ever.,11
Excellent,Mahesha,5.0,"Excellent Awesome mobile, value of money...","Excellent Awesome mobile, value of money...","Excellent Awesome mobile, value of money...","Excellent Awesome mobile, value of money...",6
Gud,Imtiyaz,5.0,Gud Nice phn,Gud Nice phn,Gud Nice phn,Gud Nice phn,3
battery life good,Hardeep singh,4.0,battery life good notch. display better,battery life good notch. display better,battery life good notch. display better,battery life good notch. display better,6
Better bakup osm,Amazon Customer,5.0,Better bakup osm Nice products ?? . . .,Better bakup osm Nice products ?? . . .,Better bakup osm Nice products ?? . . .,Better bakup osm Nice products ?? . . .,9
waste of money,Rameez Rashid Parray,1.0,waste of money waste of money,waste of money waste of money,waste of money waste of money,waste of money waste of money,6
Amazing,Ritesh verma,5.0,Amazing Nice and super mobile,Amazing Nice and super mobile,Amazing Nice and super mobile,Amazing Nice and super mobile,5
best phone in budget,mohammed imroz,5.0,best phone in budget awosome phone,best phone in budget awosome phone,best phone in budget awosome phone,best phone in budget awosome phone,6
Battery life,Aman Rana,4.0,Battery life Phone system is nice,Battery life Phone system is nice,Battery life Phone system is nice,Battery life Phone system is nice,6
Very nice,Shiva,4.0,Very nice Mobile is very nice.,Very nice Mobile is very nice.,Very nice Mobile is very nice.,Very nice Mobile is very nice.,6
Good,yahoo,5.0,Good Good Product,Good Good Product,Good Good Product,Good Good Product,3
Must buy,Amazon Customer,5.0,Must buy Great phone,Must buy Great phone,Must buy Great phone,Must buy Great phone,4
Super farfamens,SambasivaraoAmazon Customer,3.0,Super farfamens Nice mobaile,Super farfamens Nice mobaile,Super farfamens Nice mobaile,Super farfamens Nice mobaile,4
Amazing,Himanshu,5.0,Amazing Mind blowing,Amazing Mind blowing,Amazing Mind blowing,Amazing Mind blowing,3
Camera,Friends ,5.0,Camera Nice product,Camera Nice product,Camera Nice product,Camera Nice product,3
Nice,Arpan patel,5.0,Nice Like,Nice Like,Nice Like,Nice Like,2
.,PRINCE KUMAR GUPTA,4.0,. Nice,. Nice,. Nice,. Nice,2
"Good, very good",Bivash das,5.0,"Good, very good Good product Amazon","Good, very good Good product Amazon","Good, very good Good product Amazon","Good, very good Good product Amazon",6
Marvellous,Rakesh,5.0,Marvellous It s awesome phone.,Marvellous It s awesome phone.,Marvellous It s awesome phone.,Marvellous It s awesome phone.,5
Nice product in cheap price, NANDKISHOR WANARE,5.0,Nice product in cheap price I have fall in love,Nice product in cheap price I have fall in love,Nice product in cheap price I have fall in love,Nice product in cheap price I have fall in love,10
Great phone,Buyer,4.0,Great phone I loved the display,Great phone I loved the display,Great phone I loved the display,Great phone I loved the display,6
Munish gupta,Munish ,3.0,Munish gupta All is well,Munish gupta All is well,Munish gupta All is well,Munish gupta All is well,5
Good work.,Korjani Yogesh,5.0,Good work. Nice phone.,Good work. Nice phone.,Good work. Nice phone.,Good work. Nice phone.,4
Value for money,Gajanana Malji,5.0,Value for money Superb????????????,Value for money Superb????????????,Value for money Superb????????????,Value for money Superb????????????,4
Bad video quality,bikash maji,3.0,Bad video quality Video screen short,Bad video quality Video screen short,Bad video quality Video screen short,Bad video quality Video screen short,6
??,sagar kute,4.0,?? ??,?? ??,?? ??,?? ??,2
Value for money very good,MOHD AARISH,5.0,Value for money very good Very good product,Value for money very good Very good product,Value for money very good Very good product,Value for money very good Very good product,8
Mi is best,tarun,5.0,Mi is best Simply Mi ia best,Mi is best Simply Mi ia best,Mi is best Simply Mi ia best,Mi is best Simply Mi ia best,7
Very good,Raju Dudhawade,5.0,Very good Very nice,Very good Very nice,Very good Very nice,Very good Very nice,4
Excellent,????? ?????,5.0,Excellent Excellent,Excellent Excellent,Excellent Excellent,Excellent Excellent,2
No thanks,KAILAS Ramchandra Throat,5.0,No thanks No thanks,No thanks No thanks,No thanks No thanks,No thanks No thanks,4
Good phone,Danish,5.0,Good phone Battery and camera,Good phone Battery and camera,Good phone Battery and camera,Good phone Battery and camera,5
Gud product,Jyoti thakur,5.0,Gud product Value for money,Gud product Value for money,Gud product Value for money,Gud product Value for money,5
battery,Yaden Wap,5.0,battery daaaaaaaam good,battery daaaaaaaam good,battery daaaaaaaam good,battery daaaaaaaam good,3
Super,Josyula,5.0,Super Value for money,Super Value for money,Super Value for money,Super Value for money,4
Coustly,Nasreen,1.0,Coustly Selfi flesh not,Coustly Selfi flesh not,Coustly Selfi flesh not,Coustly Selfi flesh not,4
"Value for money, must buy",Amazon Customer,5.0,"Value for money, must buy Perfect","Value for money, must buy Perfect","Value for money, must buy Perfect","Value for money, must buy Perfect",6
Value of money,Ahir Dipak Ram,4.0,Value of money Superb product,Value of money Superb product,Value of money Superb product,Value of money Superb product,5
Best,Vinayak shinde,5.0,Best Best for price,Best Best for price,Best Best for price,Best Best for price,4
Very good product,vikram sharma ,5.0,Very good product Really like it,Very good product Really like it,Very good product Really like it,Very good product Really like it,6
Not ok,RAKESH kumar mandal,5.0,Not ok Not ok,Not ok Not ok,Not ok Not ok,Not ok Not ok,4
Good,Manju,5.0,Good User friendly,Good User friendly,Good User friendly,Good User friendly,3
Handy,Nitish,5.0,Handy Slow charging,Handy Slow charging,Handy Slow charging,Handy Slow charging,3
Good service,Shaikh shahrukh.,5.0,Good service Good product,Good service Good product,Good service Good product,Good service Good product,4
Good rear camera,Amazon Customer,3.0,Good rear camera Overall good,Good rear camera Overall good,Good rear camera Overall good,Good rear camera Overall good,5
Looking smart,SUJEET KUMAR,4.0,Looking smart Good,Looking smart Good,Looking smart Good,Looking smart Good,3
Nice,Kamlesh purohit,5.0,Nice Nice,Nice Nice,Nice Nice,Nice Nice,2
Good,Amazon Customer,4.0,Good Good,Good Good,Good Good,Good Good,2
Awesome,Vimalnathan.s,5.0,Awesome Good,Awesome Good,Awesome Good,Awesome Good,2
Best Phone from Redmi Series,Mohammad Ayyub,5.0,Best Phone from Redmi Series Best,Best Phone from Redmi Series Best,Best Phone from Redmi Series Best,Best Phone from Redmi Series Best,6
super,Kiran ,5.0,super super,super super,super super,super super,2
nice for value,AMIT KUMAR,5.0,nice for value all is fine,nice for value all is fine,nice for value all is fine,nice for value all is fine,6
Mi,Mohammed altaf,4.0,Mi Nice mobile,Mi Nice mobile,Mi Nice mobile,Mi Nice mobile,3
Camera,Arjun ,5.0,Camera Nice mobile,Camera Nice mobile,Camera Nice mobile,Camera Nice mobile,3
Very good,Mansukh,5.0,Very good Yes,Very good Yes,Very good Yes,Very good Yes,3
Great,SUNIL YADAV,4.0,Great Best phone,Great Best phone,Great Best phone,Great Best phone,3
Best mobile,Rakesh Baraiya,5.0,Best mobile Too good,Best mobile Too good,Best mobile Too good,Best mobile Too good,4
Worthy,Sourav Maparu,4.0,Worthy Good one,Worthy Good one,Worthy Good one,Worthy Good one,3
Case back no ritan,Pappu Kumar varma,5.0,Case back no ritan Case back,Case back no ritan Case back,Case back no ritan Case back,Case back no ritan Case back,6
Best Phone,Rishikesh metkar,5.0,Best Phone Mi Best,Best Phone Mi Best,Best Phone Mi Best,Best Phone Mi Best,4
Battery,jagbir singh saini,5.0,Battery Its osm,Battery Its osm,Battery Its osm,Battery Its osm,3
Fantastic,Amazon Customer,3.0,Fantastic Super,Fantastic Super,Fantastic Super,Fantastic Super,2
Excellent,Hosain sekh,5.0,Excellent Good,Excellent Good,Excellent Good,Excellent Good,2
Good,Najim ,5.0,Good Good,Good Good,Good Good,Good Good,2
Nice,Amazon Customer,4.0,Nice Nice,Nice Nice,Nice Nice,Nice Nice,2
Awesome,Shubham,5.0,Awesome Good,Awesome Good,Awesome Good,Awesome Good,2
Nice,Saif,5.0,Nice Nice,Nice Nice,Nice Nice,Nice Nice,2
good,sohan lal,5.0,good good,good good,good good,good good,2
Good,Raj kumar,5.0,Good Good,Good Good,Good Good,Good Good,2
Midil,Deva bhoi,5.0,Midil Nice,Midil Nice,Midil Nice,Midil Nice,2
Gty,Shakeel ahamad,5.0,Gty Jiiy,Gty Jiiy,Gty Jiiy,Gty Jiiy,2
Good,ayush,5.0,Good Good,Good Good,Good Good,Good Good,2
Superb,Harsha,5.0,Superb Good,Superb Good,Superb Good,Superb Good,2
Joordaar maja aaa gya,Joginder Singh ahuja,5.0,Joordaar maja aaa gya Nice,Joordaar maja aaa gya Nice,Joordaar maja aaa gya Nice,Joordaar maja aaa gya Nice,5
res for custmer,Sachin Wadhawan,5.0,res for custmer like,res for custmer like,res for custmer like,res for custmer like,4
Best display and advance features,Girish Basone,5.0,Best display and advance features Nice,Best display and advance features Nice,Best display and advance features Nice,Best display and advance features Nice,6
Nice phone,Ok,5.0,Nice phone Ok,Nice phone Ok,Nice phone Ok,Nice phone Ok,3
Ni,Amazon Customer,1.0,Ni No,Ni No,Ni No,Ni No,2
Launch display,pintu sahoo,5.0,Launch display Ok,Launch display Ok,Launch display Ok,Launch display Ok,3
Super,Jawed Ansari,5.0,Super Good,Super Good,Super Good,Super Good,2
Worst front camera on a Mi device till date.,Ram Rajkishore,1.0,Worst front camera on a Mi device till date. It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.,it has a worst front camera on a Mi device till date . it is disgusting to see such a poor front camera .,it has a worst front camera on a Mi device till date . it is disgusting to see such a poor front camera in a Rs.11000 device . the front camera is a bit too poor to see .,Worst front camera on a Mi device till date. It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.,38
Look some other options guys.... It's just a crap.,Shubham jaishwal,1.0,"Look some other options guys.... It s just a crap. Guys, just don t buy Redmi 6 pro for now atleast. Got it delivered yesterday, I have both Gold and Black Variant. Black looks nice. But wait, It s just an unpolished product. The Pinch to fill the video doesn t work in Mi Video app. The left edge remains like this and right even this happens in Youtube. Both apps leave way too much on both sides if I let it to original. Making it a 5 inch screen display. There is No Indian City name in Time Zone, it s shown as GMT 5 30. It automatically detects the time zone as China. Why?? Has to change time, manually!!!! Then, How the heck they say that this is Made in India. While setting up the phone, the Limitless theme has Icons written in chinese. The camera app is inconsistent. The so called AI doesn t seem to be going well with SD625. My friend has RN5 pro. I think they both have same app. But his camera shows icon within screen top as if its going to shoot it with Flash or HDR. But, no this is just a crap.. So, a 5.84 screen display is just a waste if I cann t watch video to its limit. What s the purpose served by notch then and what am I supposed to do with that 5.84 inch screen???? No more notification icons in the notification bar, No more connection speed and battery percentage too, until you drop that notification panel. Stupid MI !!!!",Redmi 6 pro is a 5 inch screen display . it automatically detects the time zone as China . the camera app is inconsistent .,Redmi 6 pro is a 5 inch screen display . it automatically detects the time zone as China . the camera app is inconsistent with the so called AI . but no this is just a crap .,"But, no this is just a crap.. It s just a crap.",265
#Horrible experience of Redmi 6pro - Readon to know more##,Bhaskar Shanmugam,1.0,"Horrible experience of Redmi 6pro Readon to know more Please don t buy!! Horrible phone from Xiaomi!! The phone is just for people who like showing off the new iPhone notch design. The phone uses an outdated processor and lags terrible in term of performance. When we use more than 4apps at a time, the phone will get hanged and you will be forced to restart the phone. Watching videos for more than 20mins the phone gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phone. Very bad multi tasking. The build quality is okay, but not as good as other budget phone. A flat drop on the front screen side if hit hardly will crack the screen. The front camera is extremely poor and has been downgraded and doesn t produce even a decent quality picture. Selfie lovers, please don t even buy this phone you will get a heart ache after looking at your pix. The rear camera picture quality is average and is very unlike of xiaomi. On the other side, the basic things like the output from the speaker phone and and the earphone are extremely poor and distorted... The only con is a decent screen, however that is contributed by low quality video while played in amazon or netflix.. Had complained to Amazon on the above low quality issues, unfortunately Amazon is not willing to listen, they are saying technically the phone is working and hence it can t taken back.. Unfortunately, in this case Amazon has put its sellers over it buyers who are their bread and butter. Hope Amazon listens to my complaint here and takes measures to improve their service... Just to put things into perspective, an average 6 7k phone is sold at an extremely abnoxiously at a high price of 11k. You can find many better phone at this high price. Please stop buying this phone. Thanks for reading. Extremely sadened on buying this phone...",the phone is just for people who like showing off the new iPhone notch design . the phone uses an outdated processor and lags terrible in term of performance . it gets heated and you will have to restart the phone .,the phone is just for people who like showing off the new iPhone notch design . the phone uses an outdated processor and lags terrible in term of performance . it gets extrmely heated and you will have to restart the phone .,"On the other side, the basic things like the output from the speaker phone and and the earphone are extremely poor and distorted... Watching videos for more than 20mins the phone gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phone.",337
Got a defective one and requested for a replacement,Anoopcbose,1.0,Got a defective one and requested for a replacement Phone is really nice and good looking. I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don t know I m the one who facing this or is it a common problem. Plz let me know if you re facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don t know wether it s a physical problem or a software problem. I wish the replacement phone will don t have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I m waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon,a blue colour appears on the side of the screen. you can see it on the image shown below . I don t know I m the one who facing this or is it a common problem . also there is some touch issues when we use keyboard for typing .,a blue colour appears on the side of the screen . you can see it on the image shown below . I don t know I m the one who facing this or is it a common problem . also there is some touch issues when we use keyboard for typing .,I don t know I m the one who facing this or is it a common problem. Because there is a blue colour appears on the side of the screen.,182
cant connect to camera,Desh Deepak APS Chauhan,3.0,cant connect to camera good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera! Far better than asus zenfone max pro m1. Now feeling the Sony camera quality. Front camera is wow 5mp still taking better than 13mp pics I am using this phone as a pro photographer now Wait for one month and you will get 1000 off on it. Thanks amazon Thanks Mi India.,cant connect to camera good rear camera and bad front camera but software problem comes on startup of camera! far better than asus zenfone max pro m1 .,cant connect to camera good rear camera and bad front camera but software problem comes on startup of camera . front camera is wow 5mp still taking better than 13mp pics I am using this phone as a pro photographer now Wait for one month .,Front camera is wow 5mp still taking better than 13mp pics I am using this phone as a pro photographer now Wait for one month and you will get 1000 off on it. cant connect to camera good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera!,77
Worst Camera,Pawan Dwivedee ,2.0,"Worst Camera Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don t buy this phone.","this phone is like a VGA camera, having very noisy effect . I recommend that please don t buy this phone.","the front camera of this phone is like a VGA camera, having very noisy effect . I recommend that please don t buy this phone . if you have a problem with this phone, please do not buy it .","Worst Camera Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don t buy this phone.",25
This mobile is defective,Anand harsh,1.0,"This mobile is defective I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full",this mobile is defective I say this product is very defective camera is not working properly and speed is very slow and company . refunding my money the amazon customers care representative .,"this mobile is defective I say this product is very defective camera is not working properly and speed is very slow and company . refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product .","This mobile is defective I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full",61
Camera not good,rohan sulgekar,1.0,Camera not good Not good photo crirati,Camera not good Not good photo crirati,Camera not good Not good photo crirati,Camera not good Not good photo crirati,7
Not worth the money paid. Worst camera & screen size,Sreenath Bettanna,1.0,Not worth the money paid. Worst camera screen size Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It s a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.,camera screen size Camera is too worst considering price of the phone . front camera worst than other ordinary mobiles of redmi .,camera screen size Camera is too worst considering price of the phone . front camera worst than other ordinary mobiles of redmi . notch is only for namesake and size sake. it s a big let down.,Redmi Y2 is better option than this. Worst camera screen size Camera is too worst considering price of the phone.,77
